lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
113.25,34.25,11039,34.45145561,113.4365037,China,CHN,Asia,Eastern Asia,Laiji,Laiji; Chaohua; Dakui,100132.3493,4
113.25,34.25,11016,34.44569313,113.2699865,China,CHN,Asia,Eastern Asia,Daye,Daye; Pingmo,58839.12341,4
113.75,-1.25,12676,-1.285982342,113.5746939,Indonesia,IDN,Asia,South-Eastern Asia,Jakatan Raya,Jakatan Raya; Linau; Tumbang Jutuh; Tumbang Bunut,52867.00903,1
113.75,36.25,10899,36.06817937,113.8192002,China,CHN,Asia,Eastern Asia,Linzhou,Linzhou,155071.3704,1
114.25,35.75,10992,35.74545037,114.2734953,China,CHN,Asia,Eastern Asia,Hebi,Hebi,215295.4402,5
114.25,35.75,10962,35.88942681,114.1729433,China,CHN,Asia,Eastern Asia,Shancheng,Shancheng,188612.113,5
114.25,35.75,10985,35.92164485,114.3612416,China,CHN,Asia,Eastern Asia,Tangyin,Tangyin,94089.70062,5
114.25,35.75,10955,35.95746985,114.1490877,China,CHN,Asia,Eastern Asia,Heshan,Heshan,93913.28955,5
114.25,35.75,11005,35.6052374,114.1959964,China,CHN,Asia,Eastern Asia,Qixian,Qixian,52246.90637,5
114.25,37.75,10773,37.65764647,114.3847914,China,CHN,Asia,Eastern Asia,Zanhuang,Zanhuang,54920.0141,1
114.75,24.75,12217,24.91013678,114.7997733,China,CHN,Asia,Eastern Asia,Longnan,Longnan,112583.0488,2
114.75,24.75,12186,24.74232953,114.5276093,China,CHN,Asia,Eastern Asia,Chengxiang,Chengxiang,66065.48187,2
114.75,38.75,10741,38.52040404,114.9717011,China,CHN,Asia,Eastern Asia,Dingzhou,Dingzhou,241199.2327,3
114.75,38.75,10714,38.73400182,114.9408803,China,CHN,Asia,Eastern Asia,Tang,Tang,96234.20483,3
114.75,38.75,10704,38.62398556,114.7158106,China,CHN,Asia,Eastern Asia,Quyang,Quyang,76384.81885,3
114.75,39.25,10624,39.36456479,114.7066197,China,CHN,Asia,Eastern Asia,Laiyuan,Laiyuan,90370.86115,1
