lon,lat,k1_thresh,k1_num_excedences,k2_thresh,k2_num_excedences,k3_thresh,k3_num_excedences,k4_thresh,k4_num_excedences,k5_thresh,k5_num_excedences,k6_thresh,k6_num_excedences
14.25,-5.75,304.072418,185,303.2995,450,301.791016,3433,302.328796,1717,303.507477,343,302.558502,1226
14.25,9.75,314.6440120000001,185,312.611603,450,308.361603,3433,310.007446,1717,313.237183,343,310.662292,1226
14.25,14.25,314.037384,185,313.113434,450,310.242035,3433,311.418091,1717,313.414276,343,311.900848,1226
14.75,-5.75,303.508179,185,302.695801,450,301.1968080000001,3433,301.732452,1717,302.885651,343,301.964691,1226
15.25,37.75,305.3264470000001,185,304.132233,450,300.430298,3433,301.971741,1717,304.500702,343,302.600037,1226
16.25,1.75,303.632782,185,303.0961910000001,450,301.803589,3433,302.30542,1717,303.27243,343,302.537598,1226
16.75,40.75,305.603638,185,304.400726,450,299.870972,3433,301.719574,1717,304.777191,343,302.4790950000001,1226
17.25,-12.25,302.035309,185,301.145691,450,298.218323,3433,299.06427,1717,301.448486,343,299.594696,1226
17.75,8.75,310.8814700000001,185,309.697784,450,306.203339,3433,307.6492,1717,310.112579,343,308.254303,1226
18.25,52.75,301.247101,185,299.365997,450,293.830933,3433,295.996796,1717,299.940399,343,296.961121,1226
18.75,8.75,311.070618,185,309.886688,450,306.521515,3433,307.901978,1717,310.313629,343,308.498291,1226
20.25,-9.75,303.813934,185,303.188171,450,300.665863,3433,301.74469,1717,303.399017,343,302.168823,1226
21.75,43.25,306.105621,185,304.357452,450,298.062256,3433,300.692291,1717,304.964874,343,301.792145,1226
22.25,-5.25,306.366028,185,305.356445,450,302.333618,3433,303.379181,1717,305.6251220000001,343,303.921051,1226
22.25,4.25,305.763702,185,305.017944,450,302.771362,3433,303.597473,1717,305.25061,343,304.011993,1226
24.25,11.75,312.205597,185,311.092529,450,307.714386,3433,309.036804,1717,311.368408,343,309.631165,1226
25.75,48.25,303.405609,185,301.443085,450,295.291199,3433,297.6039120000001,1717,302.106506,343,298.690125,1226
26.75,47.75,304.78299,185,302.828857,450,296.627991,3433,298.96109,1717,303.476501,343,300.0552370000001,1226
27.25,-9.25,305.625336,185,304.77179,450,301.4770200000001,3433,302.850616,1717,305.096588,343,303.429993,1226
27.25,42.25,304.763702,185,303.363434,450,299.082062,3433,300.896973,1717,303.7651370000001,343,301.614532,1226
27.75,40.75,304.342438,185,303.334778,450,299.837097,3433,301.287933,1717,303.6427,343,301.915833,1226
27.75,53.75,301.644897,185,299.873352,450,294.48999,3433,296.62207,1717,300.4381410000001,343,297.495148,1226
28.75,-12.75,306.260529,185,305.090973,450,300.6186830000001,3433,302.559875,1717,305.529053,343,303.355682,1226
28.75,-2.75,298.629181,185,297.84848,450,295.601837,3433,296.411407,1717,298.069885,343,296.76828,1226
28.75,-1.75,298.201355,185,297.249725,450,295.1529240000001,3433,295.863403,1717,297.5,343,296.1874390000001,1226
29.25,-5.75,304.259766,185,303.4541930000001,450,300.682587,3433,301.702484,1717,303.697357,343,302.18988,1226
29.25,14.25,313.8823240000001,185,312.4174799999999,450,309.472809,3433,310.6347350000001,1717,312.7611080000001,343,311.10553,1226
29.75,0.75,301.699982,185,301.040527,450,299.607361,3433,300.1090700000001,1717,301.24408,343,300.3516850000001,1226
29.75,59.75,298.190277,185,296.7124330000001,450,292.440521,3433,294.178406,1717,297.22226,343,294.931641,1226
30.25,-4.75,304.141235,185,303.356628,450,300.693298,3433,301.7896120000001,1717,303.610626,343,302.216888,1226
30.25,13.25,312.467834,185,311.630341,450,309.02243,3433,310.136017,1717,311.871094,343,310.588531,1226
30.75,52.25,302.634186,185,300.63559,450,294.967621,3433,297.049591,1717,301.308929,343,297.965454,1226
31.25,29.25,309.310089,185,308.380798,450,305.23053,3433,306.531067,1717,308.716461,343,307.088348,1226
31.25,36.75,310.714752,185,309.412964,450,304.612,3433,306.706573,1717,309.884369,343,307.518768,1226
31.75,-16.25,309.505829,185,308.57547,450,304.563751,3433,306.35376,1717,308.8824160000001,343,307.071045,1226
31.75,40.75,299.605103,185,298.565247,450,294.640167,3433,296.322052,1717,298.9476620000001,343,296.950806,1226
32.25,13.75,313.5409850000001,185,312.670959,450,310.128754,3433,311.23645,1717,312.893097,343,311.702332,1226
33.25,-18.25,307.388428,185,306.47934,450,302.575867,3433,304.216614,1717,306.753204,343,304.9055180000001,1226
33.25,-3.75,304.2319950000001,185,303.529755,450,301.293854,3433,302.208069,1717,303.761047,343,302.584076,1226
33.25,51.75,303.298157,185,301.110413,450,295.224091,3433,297.347229,1717,301.813721,343,298.349243,1226
33.75,-25.25,306.557312,185,305.3540950000001,450,302.623932,3433,303.571106,1717,305.68396,343,304.046112,1226
33.75,-16.25,311.611938,185,310.668854,450,306.625977,3433,308.4537660000001,1717,310.986969,343,309.115784,1226
33.75,-9.75,307.875183,185,306.746918,450,303.428833,3433,304.772675,1717,307.07309,343,305.312805,1226
34.25,0.75,302.226563,185,301.484802,450,299.5456240000001,3433,300.307953,1717,301.667938,343,300.643372,1226
35.25,-16.25,308.59259,185,307.5935970000001,450,304.067505,3433,305.559082,1717,307.916443,343,306.158875,1226
35.25,33.25,307.1488950000001,185,305.99939,450,302.636139,3433,303.9999390000001,1717,306.362671,343,304.616241,1226
35.25,47.75,306.0395200000001,185,304.504883,450,298.736481,3433,301.170288,1717,305.007172,343,302.1669310000001,1226
35.75,-4.25,304.95575,185,303.425751,450,299.76767,3433,301.032928,1717,303.928101,343,301.587891,1226
35.75,35.75,307.931305,185,306.733582,450,303.397308,3433,304.806427,1717,307.086304,343,305.357758,1226
36.75,11.25,301.850098,185,301.042145,450,297.76355,3433,299.217285,1717,301.316986,343,299.7744140000001,1226
36.75,15.25,312.904175,185,312.007629,450,309.169952,3433,310.296265,1717,312.292511,343,310.777771,1226
36.75,18.75,311.975403,185,311.355042,450,308.760559,3433,309.94223,1717,311.557648,343,310.378326,1226
36.75,45.25,305.466949,185,304.0917970000001,450,299.1792910000001,3433,301.17984,1717,304.587372,343,302.088074,1226
37.75,47.75,305.278564,185,303.76593,450,298.002991,3433,300.433563,1717,304.208496,343,301.440155,1226
38.25,11.25,301.707245,185,300.871094,450,297.93573,3433,299.201263,1717,301.171112,343,299.677521,1226
38.25,13.25,300.975891,185,300.290253,450,297.829803,3433,298.845856,1717,300.51947,343,299.2601620000001,1226
38.75,11.75,300.633148,185,299.714264,450,296.728241,3433,297.955841,1717,300.025238,343,298.4681700000001,1226
38.75,14.25,302.658722,185,301.788818,450,299.345459,3433,300.274567,1717,302.0572200000001,343,300.658997,1226
38.75,14.75,302.938629,185,302.2095950000001,450,300.004059,3433,300.856598,1717,302.440521,343,301.204926,1226
38.75,47.25,306.720154,185,305.194702,450,299.430298,3433,301.8648990000001,1717,305.6270140000001,343,302.878662,1226
39.75,-13.25,307.9212950000001,185,306.818848,450,303.540161,3433,304.772278,1717,307.212158,343,305.32132,1226
39.75,10.75,298.456268,185,297.530487,450,294.733154,3433,295.694092,1717,297.817505,343,296.186523,1226
39.75,24.25,315.501038,185,314.757507,450,311.803497,3433,313.13739,1717,314.98114,343,313.6100160000001,1226
39.75,43.75,302.306519,185,301.032501,450,296.657166,3433,298.371185,1717,301.461731,343,299.072052,1226
39.75,57.75,299.829132,185,298.08667,450,293.219788,3433,295.148132,1717,298.636475,343,296.000885,1226
40.25,0.25,309.008942,185,308.424469,450,306.632446,3433,307.398529,1717,308.58725,343,307.674957,1226
40.75,37.25,313.162781,185,311.8051450000001,450,307.258331,3433,309.170563,1717,312.220947,343,309.952332,1226
42.25,57.25,300.815857,185,298.985199,450,293.553802,3433,295.584503,1717,299.564484,343,296.5493160000001,1226
